"Name,Description,Price,Category"
"Smartphone,""Latest model with 128GB storage"",699.99,Electronics"
"Laptop,""High performance laptop with 16GB RAM"",999.99,Electronics"
"Wireless Earbuds,""Noise-cancelling wireless earbuds"",199.99,Electronics"
"Bluetooth Speaker,""Portable Bluetooth speaker with deep bass"",59.99,Electronics"
"Smartwatch,""Water-resistant smartwatch with fitness tracking"",149.99,Electronics"
"Novel,""Bestselling novel by a famous author"",12.99,Books"
"Cookbook,""Recipe book with over 200 dishes"",24.99,Books"
"Self-Help Book,""Guide to improving mental well-being"",15.99,Books"
"Travel Guide,""Comprehensive guide to European travel"",18.99,Books"
"Science Fiction,""Classic science fiction novel"",10.99,Books"
"T-Shirt,""100% cotton t-shirt"",9.99,Clothing"
"Jeans,""Slim fit denim jeans"",29.99,Clothing"
"Jacket,""Waterproof outdoor jacket"",49.99,Clothing"
"Sneakers,""Comfortable running shoes"",39.99,Clothing"
"Hat,""Stylish baseball cap"",14.99,Clothing"
"Sofa,""Modern 3-seater sofa"",499.99,Home"
"Coffee Table,""Glass top coffee table"",89.99,Home"
"Lamp,""LED desk lamp"",24.99,Home"
"Chair,""Ergonomic office chair"",119.99,Home"
"Bedding Set,""King size bedding set with 4 pieces"",59.99,Home"
"Vitamins,""Multivitamins for daily health"",19.99,Health"
"Yoga Mat,""Non-slip yoga mat"",29.99,Health"
"Face Mask,""Reusable cloth face mask"",9.99,Health"
"Protein Powder,""Whey protein powder for muscle gain"",49.99,Health"
"Thermometer,""Digital forehead thermometer"",25.99,Health"
"Treadmill,""Folding treadmill for home use"",399.99,Sports"
"Dumbbell Set,""Adjustable dumbbell set"",79.99,Sports"
"Soccer Ball,""FIFA-approved soccer ball"",29.99,Sports"
"Tennis Racket,""Professional tennis racket"",89.99,Sports"
"Yoga Block,""Foam yoga block for support"",14.99,Sports"
"Action Figure,""Collectible superhero action figure"",19.99,Toys"
"Board Game,""Strategy board game for all ages"",34.99,Toys"
"Puzzle,""1000-piece jigsaw puzzle"",17.99,Toys"
"Doll,""Fashion doll with accessories"",24.99,Toys"
"Remote Control Car,""High-speed remote control car"",49.99,Toys"
"Shampoo,""Organic hair strengthening shampoo"",12.99,Beauty"
"Face Cream,""Anti-aging face cream"",39.99,Beauty"
"Perfume,""Eau de parfum with floral scent"",59.99,Beauty"
"Lipstick,""Long-lasting matte lipstick"",14.99,Beauty"
"Hair Dryer,""High-power hair dryer with diffuser"",29.99,Beauty"
"Car Vacuum,""Portable car vacuum cleaner"",29.99,Automotive"
"Dash Cam,""1080p dash cam with night vision"",69.99,Automotive"
"Car Seat Cover,""Leather car seat cover set"",119.99,Automotive"
"Tire Inflator,""Digital tire inflator with gauge"",39.99,Automotive"
"Car Wax,""Premium car wax for shine and protection"",19.99,Automotive"
"Drill Set,""Cordless drill set with accessories"",89.99,Tools"
"Hammer,""Claw hammer with ergonomic handle"",14.99,Tools"
"Screwdriver Set,""Multi-bit screwdriver set"",24.99,Tools"
"Wrench Set,""Metric wrench set"",29.99,Tools"
"Toolbox,""Portable toolbox with organizer"",39.99,Tools"
"Headphones,""Over-ear noise-cancelling headphones"",129.99,Electronics"
"E-Reader,""E-reader with built-in light"",99.99,Electronics"
"Smart Thermostat,""Smart thermostat with WiFi control"",149.99,Electronics"
"Camera,""Digital camera with 20MP sensor"",199.99,Electronics"
"Gaming Console,""Latest gaming console"",299.99,Electronics"
"Biography,""Inspiring biography of a famous person"",17.99,Books"
"Mystery Novel,""Suspenseful mystery novel"",13.99,Books"
"Children's Book,""Illustrated children's storybook"",11.99,Books"
"History Book,""Detailed history of ancient civilizations"",21.99,Books"
"Fantasy Novel,""Epic fantasy adventure novel"",14.99,Books"
"Hoodie,""Comfortable cotton hoodie"",34.99,Clothing"
"Dress,""Elegant evening dress"",59.99,Clothing"
"Socks,""Pack of 10 ankle socks"",12.99,Clothing"
"Jacket,""Winter jacket with hood"",79.99,Clothing"
"Belt,""Leather belt with metal buckle"",19.99,Clothing"
"Dining Table,""Wooden dining table for 6"",299.99,Home"
"Blender,""High-speed kitchen blender"",49.99,Home"
"Vacuum Cleaner,""Bagless vacuum cleaner"",89.99,Home"
"Air Purifier,""HEPA air purifier for large rooms"",129.99,Home"
"Microwave,""Countertop microwave oven"",99.99,Home"
"Hand Sanitizer,""Pack of 5 hand sanitizers"",14.99,Health"
"Fitness Tracker,""Waterproof fitness tracker with HR monitor"",49.99,Health"
"First Aid Kit,""Comprehensive first aid kit"",24.99,Health"
"Massage Gun,""Deep tissue massage gun"",99.99,Health"
"Electric Toothbrush,""Rechargeable electric toothbrush"",39.99,Health"
"Exercise Bike,""Stationary exercise bike"",249.99,Sports"
"Basketball,""Official size and weight basketball"",29.99,Sports"
"Golf Club Set,""Complete golf club set"",399.99,Sports"
"Baseball Glove,""Leather baseball glove"",49.99,Sports"
"Swim Goggles,""Anti-fog swim goggles"",14.99,Sports"
"Building Blocks,""500-piece building block set"",29.99,Toys"
"Stuffed Animal,""Large stuffed teddy bear"",19.99,Toys"
"Toy Car,""Die-cast toy car set"",14.99,Toys"
"LEGO Set,""Advanced LEGO building set"",89.99,Toys"
"RC Helicopter,""Remote control helicopter"",59.99,Toys"
"Nail Polish,""Set of 6 nail polishes"",24.99,Beauty"
"Makeup Kit,""All-in-one makeup kit"",49.99,Beauty"
"Hair Straightener,""Ceramic hair straightener"",29.99,Beauty"
"Moisturizer,""Daily facial moisturizer"",19.99,Beauty"
"Body Lotion,""Hydrating body lotion"",12.99,Beauty"
"Jump Starter,""Portable car jump starter"",69.99,Automotive"
"Car Cover,""All-weather car cover"",49.99,Automotive"
"GPS Navigator,""GPS navigator with lifetime maps"",99.99,Automotive"
"Brake Pads,""High-performance brake pads"",29.99,Automotive"
"Engine Oil,""Synthetic engine oil"",39.99,Automotive"
"Circular Saw,""Cordless circular saw"",89.99,Tools"
"Tape Measure,""25-foot retractable tape measure"",9.99,Tools"
"Level,""Digital laser level"",49.99,Tools"
"Pliers,""Set of 5 pliers"",19.99,Tools"
"Socket Set,""40-piece socket set"",29.99,Tools"
